1;ambiguous;a;unclear
2;anecdote;n;story
3;malignant;a;dangerous
4;ostracize;v;to exclude
5;banal;a;boring
6;consolidate;v;to combine
7;disparage;v;to belittle
8;enigma;n;puzzle
9;frugal;a;thrifty
10;illustrious;a;celebrated
11;impartial;a;unprejudiced
12;palatable;a;pleasant in taste
13;prerogative;n;an official right
14;scrutinize;v;to inspect, to analyze
15;staunch;a;loyal
16;acclaim;v;to praise
17;aloof;a;indifferent
18;amicable;a;civil, cordial
19;arbitrary;a;based on a whim
20;assent;v;to agree
21;belated;a;after the event
22;brazen;a;bold
23;buttress;v;to reinforce
24;cumulative;a;successive adding
25;destitute;a;very poor
26;discern;v;to discover
27;distinct;a;separate
28;duress;n;threat, hardship
29;eloquent;a;skillful with words
30;emancipate;v;to free
31;expedite;v;to speed up
32;frivolous;a;trivial
33;induct;v;to put in office
34;inordinate;a;excessive
35;irate;a;angry
36;mundane;a;usual, ordinary
37;oration;n;sermon
38;precocious;a;mentally mature
39;premonition;n;hunch
40;prevalent;a;widespread
41;reflective;a;automatic
42;reticent;a;quiet
43;taciturn;a;quiet
44;transient;a;passing quickly
45;volatile;a;quickly changing
46;abode;n;residence
47;abrupt;a;blunt
48;adorn;v;to decorate
49;aesthetic;a;about beauty
50;affront;n;deliberate act
51;agitate;v;to shake, disturb
52;ajar;a;slightly open
53;alleviate;v;to lessen
54;allot;v;to allocate, to give out
55;altruistic;a;unselfish
56;ambivalent;a;uncertain
57;amiable;a;friendly
58;apex;n;peak
59;archaic;a;very old
60;asperity;n;harshness of tone
61;astute;a;sharp
62;augment;v;to make greater
63;belligerent;a;warlike
64;blatant;a;obvious
65;blithe;a;happy
66;bolster;v;to support
67;brash;a;bold
68;candid;a;frank, open
69;captivate;v;to enchant
70;censure;v;to criticize harshly
71;choleric;a;irritable
72;clandestine;a;secretive
73;conceited;a;overly proud
74;concord;n;agreement
75;condescending;a;snobby
76;conflagration;n;a destructive fire
77;congenial;a;pleasing, friendly
78;contagious;a;communicable
79;contrite;a;sorry
80;conundrum;n;a riddle
81;critical;a;fault-finding
82;delinquent;a;overdue
83;derelict;a;irresponsible
84;deviate;v;to stray from
85;disclose;v;to reveal
86;discredit;v;to cause disbelief
