WORD;DEFINITION;Type;;GROUPING
1;abash;v;to make ashamed
2;abate;v;to put an end to
3;abbess;n;a female superior or governess of a nunnery
4;abbey;n;a monastery or society of people
5;abbot;n;the superior or head of an abbey or monastery
6;abbreviate;v;to make shorter
7;abdicate;v;to surrender, renounce or relinquish
8;abdomen;n;the belly/stomach
9;abduct;v;to take away secretly by force
10;abed;v;in bed
11;aberrant;v;straying from the right or normal way
12;abet;v;to assist or encourage by aid, especially in crime
13;abeyance;n;temporary inactivity
14;abhor;v;to loath
15;abide;v;to wait for
16;abject;v;to cast off or down, to abase
17;abjure;v;to renounce upon oath
18;abnegate;v;to deny (oneself something)
19;abnormal;a;not conforming to rule or system
20;abominable;a;very hateful, detestable
21;abomination;n;anything greatly disliked or abhorred
22;aboriginal;a;original or indigenous to a place
23;abort;v;to miscarry, to bring forth something prematurely
24;abortive;a;unsuccessful
25;abound;v;to be plentiful, to be very prevalent, to overflow
26;aboveboard;a;in open sight, without concealment, or deception
27;abrade;v;to rub or wear away
28;abrasive;a;rough enough to wear away the outer surface
29;abridge;v;to shorten in duration
30;abrogate;v;to abolish by authoritative action
31;abscess;v;to form such a collection of pus
32;abscission;n;the act of cutting off
33;abscond;v;to depart secretly
34;absence;n;a state of being absent
35;absolute;a;free from imperfection, complete
36;absolve;v;to set free from an obligation
37;abstain;v;refrain from (something)
38;abstemious;a;restraint especially in the consumption of food or alcohol
39;abstinence;n;voluntary forbearance esp. from indulgence of an appetite
40;abstract;v;to separate, to remove, to take away
41;abstruse;a;difficult to comprehend
42;abundant;a;fully sufficient, in great quantity
43;abusive;a;treating badly or injuriously
44;abut;v;to touch by means of a mutual border, to meet
45;abysmal;a;extremely hopeless, bad, or severe
46;abyss;n;an immeasurably deep gulf or great space
47;accede;v;(obsolete) to approach, to arrive, to come forward
48;accentuate;v;to pronounce with an accent or vocal stress
49;access;v;to gain or obtain access to
50;accession;v;to make a record of (additions to a collection)
51;accessory;a;aiding in a secondary way, being additional,
52;acclaim;v;applaud
53;acclimate;v;to habituate to a climate not native
54;acclivity;n;a slope or inclination of the earth, as the side of a hill
55;accolade;v;to embrace or kiss in salutation
56;accommodate;v;to adapt, as, to accommodate ourselves to circumstances
57;accompaniment;n;that which gives support or adds to the background
58;accompany;v;to perform an accompanying part or parts in a composition
59;accomplice;n;partner in activity, usually crime
60;accomplish;v;to finish successfully
61;accord;v;to make to agree or correspond, to suit one thing to another
62;accordion;v;to fold up, in the manner of an accordion
63;accost;v;to approach and speak to boldly or aggressively
64;account;v;to compute, to count
65;accouter;v;to furnish with dress or equipments
66;accouterments;n;dress, trappings, equipment
67;accredit;v;to put or bring into credit, to invest with credit
68;accretion;n;growth by slow buildup
69;accrue;v;to happen or result as a natural growth, addition
70;acculturation;n;adopting cultural elements of another culture
71;accumulate;v;to heap up in a mass, to collect
72;accurse;v;to devote to destruction
73;accusation;n;the act of with a crime or with a lighter offense
74;accuse;v;to find fault with, to blame
75;accustom;v;to make familiar by use, to cause to accept
76;acerbic;a;acid in temper, mood or tone
77;acetate;n;any salt or ester of acetic acid
78;acetic;a;of, pertaining to, or producing vinegar
79;achillean;a;invincible
80;achromatic;a;without colour
81;acidulous;a;slightly sour, sub-acid
82;acknowledge;v;to admit the knowledge of, to recognize as a fact or truth
83;acknowledgment;n;the act of acknowledging, admission
84;acme;n;the top or highest point, pinnacle, culmination
85;acoustic;a;designed to carry sound or to aid in hearing
86;acquaint;v;to make familiar
87;acquiesce;v;to rest satisfied
88;acquire;v;to get
89;acquisitive;a;acquired
90;acquit;v;to declare or find not guilty, innocent
91;acreage;n;size, as measured in acres
92;acrid;a;sharp and harsh, or bitter and not to the taste, pungent
93;acrimonious;a;of or pertaining to words, arguments, quarrels
94;acrimony;n;bitterness or sharpness of manner, speech, temper
95;acrophobia;n;fear of heights
96;actionable;a;affording grounds for legal action
97;actuality;n;the state of existing, existence
98;actuarial;a;of or pertaining to actuaries
99;actuary;n;registrar, clerk
100;acuity;n;sharpness or acuteness, as of a needle, wit, etc
101;acumen;n;quickness of perception or discernment, penetration of mind
102;acute;a;sharp
103;ad hoc;a;specifically for
104;ad infinitum;a;to infinity
105;adage;n;an old saying, which has obtained credit by long use
106;adamant;a;resistant to reason, determined, inflexible
107;adapt;v;to make suitable, to make to correspond, to fit or suit
108;addendum;n;an addition or change
109;addle;v;to make or become confused
110;adduce;v;to cite (as proof)
111;adept;a;well skilled, completely versed, thoroughly proficient
112;adhere;v;to stick fast or cleave, to become joined or united
113;adhesion;n;the ability of a substance to stick to an unlike substance
114;adieu;n;a farewell, a goodbye, especially a fond farewell
115;adjacent;a;close, or contiguous, neighboring, bordering on
116;adjourn;v;to postpone
117;adjudge;v;to declare to be
118;adjudicate;v;to settle a legal case or other dispute
119;adjunct;n;attached to another in a dependent or subordinate position
120;adjuration;n;a grave warning
121;adjutant;a;a military officer
122;administrator;n;one who administers affairs, one who directs or manages
123;admissible;a;accepted or allowed, acceptable
124;admittance;n;the act of admitting
125;admonish;v;to warn of a fault, to reprove gently, but seriously
126;ado;n;to do, in doing, as, there is nothing ado
127;adoration;n;an act of religious worship
128;adorn;v;to decorate
129;adroit;a;dexterous
130;adulation;n;flattery, fulsome praise
131;adulterate;v;to make impure by adding improper, or inferior ingredients
132;adumbrate;v;to foreshadow vaguely
133;advent;n;coming, arrival
134;adventitious;a;from an external source, not innate or inherent
135;adversary;n;an enemy
136;adverse;a;unfavorable, antagonistic in purpose or effect, hostile
137;adversity;n;hardship (usually uncountable)
138;advert;v;to turn attention
139;advisory;a;able to give advice
140;advocacy;n;active support
141;advocate;v;to speak in favor of
142;aegis;n; the shield or breastplate of zeus or athena, protection
143;aerial;a;of, in, or from the air, atmospheric
144;aeronaut;n;one who glides through the air in an airship or balloon
145;aerostat;n;an aircraft that derives its lift from buoyancy
146;aesthete;n;a person who has refined sensitivity towards art or nature
147;aesthetic;a;having a sense of beauty
148;affable;a;pleasant, easy to approach
149;affect;v;to influence or alter
150;affiliate;v;to adopt, to receive into a family as a son, to ally
151;affiliation;n;the relationship resulting from association
152;affinity;n;a natural liking for or attraction to a person, thing, idea
153;affirmation;n;a declaration that something is true, an oath
154;affirmative;a;pertaining to truth, asserting that something is true
155;affix;v;to attach
156;afflict;v;to distress with mental/bodily pain
157;affluent;a;having lots of wealth, property or other material goods
158;affront;v;to insult intentionally, especially openly
159;aficionado;n;a fan or devotee
160;afire;a;on fire
161;afoot;a;on foot
162;aforesaid;a;a previously stated statement
163;afresh;a;anew
164;afrikaans;n;an official language of south africa, developed out of dutch
165;agglomerate;v;to wind or collect into a ball, to gather into a mass
166;aggrandize;v;to widen in scope
167;aggravate;v;to make worse, or more severe
168;aggregate;v;to bring together, to collect into a mass or sum
169;aggress;v;to set upon, to attack
170;aggrieve;v;to give pain or sorrow to, to afflict, to oppress
171;aghast;a;terrified, struck with amazement
172;agile;a;active, quick and coordinated
173;agitate;v;to move with a violent, irregular action
174;agnostic;a;the doubt of a higher power/being
175;agog;a;in eager desire, eager, astir
176;agrarian;a;of, or relating to, the ownership and cultivation of land
177;agriculture;n;the art or science of cultivating the ground
178;aide-de-camp;n;a military officer who assists a higher ranking officer
179;ailment;n;a disease, sickness
180;akin;a;related by blood, similar
181;alabaster;n;a finely granular variety of gypsum
182;alacrity;n;cheerful readiness
183;albeit;a;although, even if
184;albino;a;a person, plant or animal with a deficiency in pigmentation
185;alchemy;n;the search for a universal panacea (became chemistry)
186;alcoholism;n;a chronic disorder characterized by dependence on alcohol
187;alcove;n;a small recessed area set off from a larger room
188;alder;n;belonging to the birch tree family
189;alderman;n;a member of several municipal legislative bodies
190;alias;n;a false name used to conceal one's identity
191;alibi;n;an excuse, especially to avoid blame
192;alien;n;a person who has been estranged or excluded
193;alienate;v;to make indifferent or hostile
194;aliment;n;that which nourishes, food
195;alimony;n;a court-enforced allowance made to a former spouse
196;alkali;n;one of a class of caustic bases
197;allay;v;to make quiet or put at rest, to pacify or appease
198;allege;v;to assert without proof
199;allegiance;n;loyalty to a person, group, or cause
200;allegory;n;a symbolic narrative
201;alleviate;v;to make easier to endure, lessen
202;alliance;n;the state of being allied, the act of allying or uniting
203;allocate;v;to assign or plot
204;allot;v;to distribute by lot
205;alloy;v;to mix
206;allude;v;to refer casually or indirectly
207;allure;v;to invite by something flattering or acceptable, to entice
